t, days	M, rad	E, rad	Phi, rad	
0	0	0	0
1	0.00914599	0.010088	0.0110786
2	0.018292	0.0201761	0.0221572
3	0.027438	0.0302639	0.0332351
4	0.036584	0.0403514	0.0443124
5	0.04573	0.0504385	0.0553888
6	0.0548759	0.060525	0.066464
7	0.0640219	0.0706109	0.0775378
8	0.0731679	0.0806961	0.08861
9	0.0823139	0.0907806	0.0996806
10	0.0914599	0.100864	0.110749
11	0.100606	0.110946	0.121815
12	0.109752	0.121027	0.132878
13	0.118898	0.131107	0.143939
14	0.128044	0.141186	0.154997
15	0.13719	0.151263	0.166051
16	0.146336	0.161339	0.177102
17	0.155482	0.171412	0.188149
18	0.164628	0.181484	0.199193
19	0.173774	0.191555	0.210232
20	0.18292	0.201623	0.221267
21	0.192066	0.211689	0.232297
22	0.201212	0.221753	0.243323
23	0.210358	0.231814	0.254343
24	0.219504	0.241874	0.265359
25	0.22865	0.25193	0.276368
26	0.237796	0.261984	0.287373
27	0.246942	0.272036	0.298371
28	0.256088	0.282085	0.309363
29	0.265234	0.29213	0.320349
30	0.27438	0.302173	0.331328
31	0.283526	0.312213	0.342301
32	0.292672	0.32225	0.353267
33	0.301818	0.332283	0.364225
34	0.310964	0.342313	0.375177
35	0.32011	0.352339	0.38612
36	0.329256	0.362362	0.397056
37	0.338402	0.372381	0.407984
38	0.347548	0.382397	0.418904
39	0.356694	0.392409	0.429816
40	0.36584	0.402417	0.440719
41	0.374986	0.41242	0.451613
42	0.384132	0.42242	0.462498
43	0.393278	0.432416	0.473374
44	0.402424	0.442407	0.484241
45	0.41157	0.452394	0.495099
46	0.420716	0.462376	0.505947
47	0.429862	0.472354	0.516785
48	0.439008	0.482327	0.527612
49	0.448154	0.492296	0.53843
50	0.4573	0.50226	0.549238
51	0.466446	0.512219	0.560034
52	0.475592	0.522173	0.570821
53	0.484738	0.532122	0.581596
54	0.493884	0.542066	0.59236
55	0.50303	0.552005	0.603113
56	0.512176	0.561938	0.613855
57	0.521322	0.571866	0.624585
58	0.530467	0.581789	0.635303
59	0.539613	0.591706	0.64601
60	0.548759	0.601618	0.656705
61	0.557905	0.611524	0.667387
62	0.567051	0.621425	0.678057
63	0.576197	0.631319	0.688715
64	0.585343	0.641208	0.69936
65	0.594489	0.651091	0.709993
66	0.603635	0.660968	0.720613
67	0.612781	0.670839	0.731219
68	0.621927	0.680704	0.741813
69	0.631073	0.690562	0.752394
70	0.640219	0.700415	0.762961
71	0.649365	0.710261	0.773514
72	0.658511	0.720101	0.784054
73	0.667657	0.729934	0.79458
74	0.676803	0.739761	0.805093
75	0.685949	0.749582	0.815591
76	0.695095	0.759395	0.826075
77	0.704241	0.769202	0.836546
78	0.713387	0.779003	0.847002
79	0.722533	0.788797	0.857443
80	0.731679	0.798584	0.86787
81	0.740825	0.808364	0.878283
82	0.749971	0.818137	0.88868
83	0.759117	0.827903	0.899063
84	0.768263	0.837662	0.909431
85	0.777409	0.847415	0.919784
86	0.786555	0.85716	0.930122
87	0.795701	0.866898	0.940445
88	0.804847	0.876628	0.950753
89	0.813993	0.886352	0.961045
90	0.823139	0.896068	0.971323
91	0.832285	0.905777	0.981584
92	0.841431	0.915479	0.99183
93	0.850577	0.925173	1.00206
94	0.859723	0.93486	1.01228
95	0.868869	0.944539	1.02247
96	0.878015	0.954211	1.03266
97	0.887161	0.963875	1.04283
98	0.896307	0.973532	1.05298
99	0.905453	0.983181	1.06311
100	0.914599	0.992823	1.07323
101	0.923745	1.00246	1.08334
102	0.932891	1.01208	1.09342
103	0.942037	1.0217	1.10349
104	0.951183	1.03131	1.11355
105	0.960329	1.04092	1.12359
106	0.969475	1.05051	1.13361
107	0.978621	1.0601	1.14362
108	0.987767	1.06968	1.15361
109	0.996913	1.07925	1.16358
110	1.00606	1.08881	1.17354
111	1.01521	1.09837	1.18348
112	1.02435	1.10792	1.1934
113	1.0335	1.11746	1.20331
114	1.04264	1.12699	1.2132
115	1.05179	1.13651	1.22307
116	1.06093	1.14603	1.23293
117	1.07008	1.15554	1.24277
118	1.07923	1.16504	1.2526
119	1.08837	1.17453	1.26241
120	1.09752	1.18401	1.2722
121	1.10666	1.19349	1.28197
122	1.11581	1.20296	1.29173
123	1.12496	1.21242	1.30147
124	1.1341	1.22187	1.3112
125	1.14325	1.23131	1.32091
126	1.15239	1.24075	1.3306
127	1.16154	1.25018	1.34027
128	1.17069	1.25959	1.34993
129	1.17983	1.26901	1.35957
130	1.18898	1.27841	1.3692
131	1.19812	1.2878	1.37881
132	1.20727	1.29719	1.3884
133	1.21642	1.30657	1.39797
134	1.22556	1.31594	1.40753
135	1.23471	1.3253	1.41707
136	1.24385	1.33466	1.4266
137	1.253	1.344	1.43611
138	1.26215	1.35334	1.4456
139	1.27129	1.36267	1.45508
140	1.28044	1.37199	1.46454
141	1.28958	1.38131	1.47398
142	1.29873	1.39061	1.48341
143	1.30788	1.39991	1.49282
144	1.31702	1.4092	1.50221
145	1.32617	1.41848	1.51159
146	1.33531	1.42775	1.52095
147	1.34446	1.43702	1.5303
148	1.35361	1.44628	1.53963
149	1.36275	1.45553	1.54894
150	1.3719	1.46477	1.55824
151	1.38104	1.474	1.56752
152	1.39019	1.48323	1.57678
153	1.39934	1.49244	1.58603
154	1.40848	1.50165	1.59526
155	1.41763	1.51085	1.60448
156	1.42677	1.52005	1.61368
157	1.43592	1.52923	1.62286
158	1.44507	1.53841	1.63203
159	1.45421	1.54758	1.64119
160	1.46336	1.55674	1.65033
161	1.4725	1.5659	1.65945
162	1.48165	1.57504	1.66855
